$10 ,MIA,,,
$1000 Wedding,"Parsons, Gram",,,
(Don't Worry) If There's A Hell Below We're All Going To Go,"Mayfield, Curtis",,,
(Drawing) Rings Around the World,Super Furry Animals,,,
(I Got) Two Wings,"Smith, Rev. Utah",,,
(I Know) I'm Losing You,Temptations,,,
(I Never Loved) Eva Braun,Boomtown Rats,,,
(I Wanna Give You) Devotion,Nomad,,,
(I'd Go the) Whole Wide World,Wreckless Eric,,,
(I'm a) Roadrunner,Junior Walker & the All Stars,,,
(Jesus Hits Like An) Atom Bomb,Blind Boys of Alabama,,,
(Love Is Like A) Heat Wave,"Reeves, Martha and the Vandellas",,,
(My Baby Does) Good Sculptures,Rezillos,,,
(My Heart Is) Closed For The Season,"Swann, Bettye",,,
(Nothing But) Flowers,Talking Heads,,,
(Sittin On) The Dock of the Bay,"Redding, Otis",,,
(Something Inside) So Strong,"Siffre, Labi",,,
(There's Going to Be a) Showdown,"Bell, Archie & the Drells",,,
(White Man) In Hammersmith Palais,Clash,,,
(Who Planted Thorns in) Miss Alice's Garden,Explosive,,,
(You Caught Me) Smilin',Sly and the Family Stone,,,
007 Shanty Town,"Dekker, Desmond",,,
Apr-05,Talk Talk,,,
1(PEace),Public Enemy,,,
10 Degrees and Getting Colder,"Lightfoot, Gordon",,,
10:15 Saturday Night,Cure,,,
100 Years from Today,"Vaughan, Sarah",,,
107 Steps,Björk,,,
11:59,Blondie,,,
1-2 Ultaviolento,Los Violadores,,,
1234,Feist,,,
127 Orange Street,Prince Buster,,,
13 Chester Street,Pretty Things,,,
14 Mirrors,MacKenzie. Billy,,,
"16, Maybe Less",Iron and Wine & Calexico,,,
1812 Overture,"Tchaikovsky, Pyotr Illich",,,
19,"Hardcastle, Paul",,,
1917,"Harris, Emmylou",,,
1952 Vincent Black Lightning,"Thompson, Richard",,,
1963,New Order,,,
1979,Smashing Pumpkins,,,
1980,Estelle,,,
"1997, Passing in the Hallway",Martha,,,
2 Kindsa Love,Jon Spencer Blues Explosion,,,
20 Years,Civil Wars,,,
200 Bars,Spiritualized,,,
20th Century Boy,T. Rex,,,
2120 South Michigan Avenue,Rolling Stones,,,
21st Century Schizoid Man,King Crimson,,,
22nd Century,"Simone, Nina",,,
24 Carat Black Theme,24 Carat Black,,,
24 Hour Party People,Happy Mondays,,,
24 Sycamore,"Fontana, Wayne",,,
24 Sycamore,"Pitney, Gene",,,
25 Miles,"Starr, Edwin",,,
25 Minutes to Go,"Cash, Johnny",,,
2HB,Roxy Music,,,
"2nd Movement, Symphony of Sorrowful Songs","Gorecki, Henryk",,,
3 AM Eternal (Live at the SSL),KLF,,,
30 Seconds Over Tokyo,Pere Ubu,,,
3030,Deltron 3030,,,
3030,Deltron 3030,,,
36D,Beautiful South,,,
4:48 Psychosis,Tindersticks,,,
40 Cups of Coffee,"Morse, Ella Mae",,,
"4'33""","Cage, John",,,
45,"Costello, Elvis",,,
