C is the Heavenly Option,Heavenly,
"C30, C60, C90 Go",Bow Wow Wow,
Äa Plane Pour Moi,Plastic Bertrand,
Cadillac Ranch,"Springsteen, Bruce",
Cafeteria Bananas,Hella,
Caffeine,Brandt Brauer Frick,
Caged Bird,"Lincoln, Abbey",
Cajun Moon,"Cale, JJ",
Caleb Meyer,"Welch, Gillian",
California,"Mitchell, Joni",
California Dreamin',Mamas and the Papas,
California Soul,"Shaw, Marlena",
California Uber Alles,Dead Kennedys,
Caligari's Mirror,Pere Ubu,
Call It Love (Trego Snare Version),Yello,
Call Me,"Franklin, Aretha",
Call the Doctor,Sleater-Kinney,
Can Anyone Who Has Heard This Music Really Be a Bad Person?,"King, Kaki",
Can I Change My Mind,"Davis, Tyrone",
Can I Sit Next to You Girl?,AC/DC,
Can the Circle Be Unbroken (By and By),Carter Family,
Can U Dig It?,Pop Will Eat Itself,
Can You Feel It?,Mr. Fingers,
Can You Feel It?,Jackson Five,
Can You Forgive Her?,Pet Shop Boys,
Can Your Pussy Do the Dog?,Cramps,
Canadee-i-o,"Jones, Nic",
Canadian Girls,"Brody, Dean",
Canadian Railroad Trilogy,"Lightfoot, Gordon",
CÖnan nan GÖidheal,"MacPhee, Catherine-Ann",
Canary Bird,"Waters, Muddy",
Canci¢n de Cuna Para el Ni§o Astronauta,Arco Iris,
Candy,Cameo,
Candy,"Brown, Foxy feat. Kelis",
Candy's Room,"Springsteen, Bruce",
Canned Heat,Jamiroquai,
Cannibal CafÇ,SNFU,
Cannonball,Breeders,
Canon in D,"Pachelbel, Johann",
Can't Be Sure,Sundays,
Can't Get You Out of My Head,"Minogue, Kylie",
Can't Let Go,"Williams, Lucinda",
Can't No Grave Hold My Body Down,"Tharpe, Sister Rosetta",
Can't Seem to Make You Mine,Seeds,
Cant Stand Me Now,Libertines,
Can't You Hear Me Knocking,Rolling Stones,
Cantaloop (Flip Fantasia),Us3,
Cantaloupe Island,"Hancock, Herbie",
Cantares,"Serrat, Joan Manuel",
Cantonese Boy,Japan,
Cantus in Memory of Benjamin Britten,"Part, Arvo",
Canzona from Music for the Funeral of Queen Mary,"Purcell, Henry",
Capricorn,"Adderley, Cannonball",
Capybara,Shonen Knife,
Car 67,Driver 67,
Car Song,Elastica,
Car Wheels on a Gravel Road,"Williams, Lucinda",
Caravan,Mills Brothers,
Caravan,Fanfare Ciocarlia,
Carcass,Siouxsie & the Banshees,
Cardiac Arrest,Madness,
Care of Cell 44,Zombies,
Career Opportunities,Clash,
Careless Love Blues,"Smith, Bessie",
Caribbean Queen,"Ocean, Billy",
Caribbean Unity,Black Stalin,
Caribou,Pixies,
Carl Perkins Wears the Crown,New Riders of the Purple Sage,
Carnival,Cardigans,
Carnival Time,"Johnson, Al",
Caroline Goodbye,"Blunstone, Colin",
Caroline Wheeler's Birthday Present,Jazz Butcher,
"Caroline, No",Beach Boys,
Carrickfergus,"Morrison, Van & the Chieftains",
Carrion,British Sea Power,
Carrot Rope,Pavement,
Carry Me Home,"Lanegan, Mark",
Casimir Pulaski Day,"Stevens, Sufjan",
Casting My Spell on You,"Lee, Marci and Johnny Otis",
Castles Made of Sand,"Hendrix, Jimi",
Casualties of War,Eric B and Rakim,
Catch a Fire,Bug,
Catch Me I'm Falling,"Phillips, Esther",
Cat's in the Cradle,"Chapin, Harry",
Cattle and Cane,Go-Betweens,
Caught By the Fuzz,Supergrass,
Caught Out There,Kelis,
Caught Up in the Rapture,"Baker, Anita",
Ce N'est Que Ma SecrÇtaire,"Mounk'a, Pamelo",
Celebration,Kool & the Gang,
Celebrity Skin,Hole,
Cell Song,Fanfario,
Cello Song,"Drake, Nick",
Celluloid Heroes,Kinks,
Centerfold,J. Geils Band,
Cepa de Andaluza,"de Lucia, Paco",
Chains and Things,"King, B.B.",
Chaiyya Chaiyya,"Singh, Sukhwinder & Sapana Awasthi",
Chalice in the Palace,U-Roy,
Chambac£,"Castillo, Aurita",
Champagne Supernova,Oasis,
Champion,"West, Kanye",
Chan Chan,Buena Vista Social Club,
Change,Killing Joke,
Changes,"Bowie, David",
Changing Opinion,"Glass, Philip",
Chantilly Lace,Big Bopper,
Charles Hollis Jones,"Hart, Grant",
Charlton Heston,Stump,
Charly,Prodigy,
Charmed Life,Divine Comedy,
