J'Accuse,Awadi
Jack in the Box,Jackpots
Jack O' Diamond Blues,"Jefferson, Blind Lemon"
Jack the Bear,"Ellington, Duke Orchestra"
Jackie,"Walker, Scott"
Jackie,"O'Connor, Sinead"
Jackson,"Cash, Johnny & June Carter"
Jacob Street 7am,Sabres of Paradise
Jacob's Ladder,Monochrome Set
Jacqueline,Durutti Column
Jacques Derrida,Scritti Politti
Jah is One,"Ben-Ari, Mosh"
Jailer,Asa
Jailhouse Blues,"Hopkins, Lightnin'"
J'aimerais Bien Etre Mon Chien,"Mey, Fr?d?rik"
Jake the Peg,"Harris, Rolf"
Jamaica Farewell,"Belafonte, Harry"
Jamaica Hurricane,Lord Beginner
Jambalaya (On the Bayou),"Williams, Hank"
James K. Polk,They Might Be Giants
Jams Run Free,Sonic Youth
Jazz Hands,"Gilmore, Thea"
Je n'en Connais Pas la Fin,"Piaf, Edith"
Je Pense ? Toi,Amadou & Mariam
Je suis venu te dire que je men vais,"Gainsbourg, Serge"
Je Veux Te Voir,Yelle
Jealous Guy,"Lennon, John"
Jed the Humanoid,Grandaddy
Jeff Koons,Momus
Jefferson and Liberty,"Seeger, Pete"
Jenifa Taught Me (Derwin's Revenge),De La Soul
Jenin,"Atzmon, Gilad"
Jenny Was A Friend of Mine,Killers
Jerk It,Thunderheist
Jersey Girl,"Waits, Tom"
Jesus Blood Never Failed Me Yet,"Bryars, Gavin"
Jesus Built My Hotrod,Ministry
Jesus Christ,Big Star
Jesus Gave Me Water,"Cooke, Sam & the Soul Stirrers"
Jesus Hates Faggots,"Grant, John"
Jesus Stag Night Club,Babybird
Jesus Tone,Swamp Cabbage
Jesus Walks,"West, Kanye"
Jesus Was a Capricorn,"Kristofferson, Kris"
Jesus Was A Cross Maker,"Sill, Judee"
Jesus Was Way Cool,King Missile
"Jet Boy, Jet Girl","Motello, Elton"
Jilted John,Jilted John
Jim Jones,"Dylan, Bob"
Jingle Bells,Yuletide Blasphemy
Jinhe Naaz Hai Hind Par Woh Kahan Hai,"Rafi, Mohammed"
Jodida Pero Contenta,Buika
Joe Hill,"Baez, Joan"
John Allyn Smith Sails,Okkervil River
John Barleycorn,Traffic
John The Revelator,"Johnson, Blind Willie"
John the Revelator,Son House
John Wayne Gacy Jr,"Stevens, Sufjan"
Johnny B Goode,"Berry, Chuck"
Johnny Come Lately,"Earle, Steve"
Johnny Mathis' Feet,American Music Club
Johnny Too Bad,Slickers
"Johnny, Come Home",Fine Young Cannibals
Johnny's Garden,Manassas
Jolene,"Parton, Dolly"
Jones vs Jones,Kool and the Gang
Jorge Regula,Moldy Peaches
Joshua Fit de Battle of Jericho,"Robeson, Paul"
Journey in Satchidananda,"Coltrane, Alice"
Journey to the Center of a Girl,Cramps
Joy in Repetition,Prince
Joy of Living,"MacColl, Ewan"
Judas Rising,Judas Priest
Judge Dread,Prince Buster
Judges,"Stetson, Colin"
"Judgment, Rage, Retribution and Thyme",Mudhoney
Judy's in the Sandbox,"Nastasia, Nina"
Jugband Blues,Pink Floyd
Juicy,Notorious BIG
Jump,Van Halen
Jumpin' Jack Flash,Rolling Stones
Junk Shop Clothes,Auteurs
Jus 1 Kiss,Basement Jaxx
Just a Little Lovin',"Springfield, Dusty"
Just a Nerd,Shaka Ponk
Just About Seventeen,"Richman, Jonathan & the Modern Lovers"
Just Be Good To Me,SOS Band
Just Dropped In,"Rogers, Kenny & The First Edition"
Just Dropped inê.,"Rogers, Kenny and the First Edition"
Just Got Lucky,JoBoxers
Just Like a Woman,"Dylan, Bob"
Just Like Christmas,Low
Just Like Heaven,Cure
Just Like Paradise,David Lee Roth
Just Me,Music Go Music
Just One of Those Things,"Sinatra, Frank"
Just the Way You Are,"Joel, Billy"
Just to Get a Rep,Gang Starr
Just Walkin' in the Rain,Prisonaires
Justice in Ontario,"Earle, Steve"
Justify My Love,Madonna
Ka-Ding-Dong,G-Clefs
Kali Yuga Part 3 (Autumn of Aeons),Therion
Kaltes Klares Wasser (Cold Clear Water),Malaria! vs Chicks on Speed
Kandinsky,Arthur. Joseph
Kansas,Wolfgang Press
Karn Evil 9,"Emerson, Lake and Palmer"
Karussell,"Rother, Michael"
Kashmir,Led Zeppelin
Kate Moss,"Hecker, Maximilian"
Kayleigh,Marillion
Keep a Knockin',Little Richard
Keep an Eye on Love,"Anderson, Ernestine"
Keep Away,"Reed, Lou"
Keep on Churnin' ('Til the Butter Comes),"Harris, Wynonie"
Keep On Dancing,Gentrys
Kelly Watch the Stars (Remix Par Moog Cookbook),Air
Kennedy,Toquiwa
Kentucky Skank,"Perry, Lee ""Scratch"""
Kerosene,Big Black
Kevin Carter,Manic Street Preachers
Key to the Highway,Derek & the Dominoes
Kick out the Jams,MC5
Kicking Television,Wilco
Kids in America,"Wilde, Kim"
"Kilkelly, Ireland","O'Connell, Robbie"
Kill the King,Rainbow
Kill the Poor,Dead Kennedys
Killed By Sweets,Grandadbob
Killer Queen,Queen
Killing in the Name,Rage Against the Machine
Killing Jar,"Thompson, Richard"
Kind and Generous,"Merchant, Natalie"
King Creosote's Wineglass Symphony,Lone Pigeon
King Harvest (Has Surely Come),"Band, The"
King Heroin,"Brown, James"
King Kong Frown,Departure Lounge
King Midas in Reverse,Hollies
King of Nothing Ever,East River Pipe
King of Rock,Run-DMC
King of Rock,Run-DMC
King of Rock 'n' Roll,Prefab Sprout
King of Rome,Unthanks (with the Brighouse & Rastrick Brass Band)
King of the Barley,"Leven, Jackie"
King of the Road,"Miller, Roger"
King Tubby Meets Rockers Uptown,"Pablo, Augustus"
King's Lead Hat,"Eno, Brian"
Kings of the Wild Frontier,Adam & the Ants
Kinky Love,Pale Saints
Kiss Me,Wave Pictures
Kissing With Confidence,"Powers, Will"
Kitchen Man,"Smith, Bessie"
Kites are Fun,Free Design
Knife,Aztec Camera
Knocking on Heaven's Door,"Dylan, Bob"
Knots,Gentle Giant
Know Your Product,Saints
Koduthathellam Koduthaan,TM Soundararajan
Komm Gib Mir Deine Hand (I Want to Hold Your Hand),Beatles
Komoriuta (Lullabye),"Yamamoto, Hozan"
Kooks,"Bowie, David"
La Bicyclette,"Montand,Yves"
La Bière,"Brel, Jacques"
La Calatrava,Parov Stellar Trio ft Michael Wittner
L? Ci Darem La Mano from Don Giovanni,"Mozart, Wolfgang Amadeus"
La Copa Rota,"Feliciano, Jos?"
La Di Da Di,"Fresh, Doug E. & the Get Fresh Crew"
La Femme d'Argent,Air
La Femme Fetal,Digable Planets
La Horse,"Gainsbourg, Serge"
La La Bam-Bam,Congos
La Lloroncita,Los Parientes de Playa Vicente
La Mer,"Tr?net, Charles"
La Nuit Est Sur La Ville,"Hardy, Francoise"
La Quête,"Brel, Jacques"
La Venus de Melo,"Kent, Stacey"
La Zenaida,"Hernandez, Armando"
Labelled with Love,Squeeze
Ladies and Gentlemen We are Floating in Space,Spiritualized
Lady Eleanor,Lindisfarne
Lady Evil,Black Sabbath
Lady Nina,Marillion
Lady Stardust,"Bowie, David"
Ladykillers,Lush
Lady's Bridge,"Hawley, Richard"
Lafayette Two Step,"Roger, Aldus"
L?grima,"Rodrigues, Am?lia"
Lah-Di-Dah,"Thackray, Jake"
Lake of Fire,Meat Puppets
L'Alouette Lulu,"Messaien, Olivier"
Lament For Ali Farka,"Kouyate, Basselou"
Land of Confusion,Katzenjammer
Land of the Glass Pinecones,Human Sexual Response
Landslide,Fleetwood Mac
Language of Violence,Disposable Heroes of Hiphoprisy
Largo al Factotum,"Rossini, Gioachino"
Last Boat Leaving,"Costello, Elvis"
Last Flight,Akiakane
Last Night,Mar-Keys
Last Night,Little Walter
Last Night a DJ Saved My Life,Indeep
Last Night Changed It All,Williams. Esther
Last Night I Dreamt That Somebody Loved Me,Smiths
Last Night Was Made for Love,"Fury, Billy"
Last of the Hobo Kings,"Gauthier, Mary"
Last Time Around,Del-Vetts
Last Words,Real Tuesday Weld
Last Words,23 Skidoo
Late For The Train,Buzzcocks
"Late Night, Maudlin Street",Morrissey
Late November,"Denny, Sandy"
Lather,Jefferson Airplane
Laughing,"Crosby, David"
Laughing With,"Spektor, Regina"
Lawdy Miss Clawdy,"Price, Lloyd"
Lawns of Dawn,Nico
Lazarus,Boo Radleys
Lazarus Man,"Callier, Terry"
Lazy,"Tucker, Mo"
Lazy,Xpress 2 featuring David Byrne
Lazy Afternoon,Roots
Lazy Calm,Cocteau Twins
Lazy River,"Carmichael, Hoagy"
Lazy Sunday,Small Faces
LDN,"Allen, Lily"
Le Fotographie,"Morricone, Ennio"
Le Freak,Chic
Le Gorille,"Brassens, Georges"
Le Pas du Chat Noir,"Brahem, Anouar"
Le Poinçonneur des Lilas,"Gainsbourg, Serge"
Leader of the Pack,Shangri-La's
Lean On Me,"Withers, Bill"
Leave,"Hansard, Glen"
Leave a Light On,"Carlisle, Belinda"
Leave My Kitten Alone,"John, Little Willie"
Leaving Here,Birds
Leaving on a Jet Plane,"Peter, Paul & Mary"
Leaving St. Kilda,"Roberts, Alasdair and Robin Robertson"
Lee Shore,"Crosby, Stills, Nash & Young"
Left Hand Lost,"Previn, Dory"
Left of the Dial,Replacements
Leftovers,"Jackson, Millie"
Legend of a Mind,Moody Blues
Legend of Xanadu,"Dave Dee, Dozy, Beaky, Mick & Tich"
Lemon Disinfectant,"Bowen, Lorraine"
Leopard-Skin Pill-Box Hat,Beck
Les Bonbons,"Brel, Jacques"
Les Cactus,"Dutronc, Jacques"
Les Fleur,"Riperton, Minnie"
Les Mannequins (Showroom Dummies),Kraftwerk
Les Morts Dansant,Magnum
Les Sucettes,"Gall, France"
Let Him Dangle,"Costello, Elvis"
Let It Go,"Diop, Wasis"
Let Me Roll It,"McCartney, Paul and Wings"
Let Me See the Colts,Smog
Let Me Think About It,"Le Grand, Fedde vs Ida Corr"
Let No Man Steal Your Thyme,Pentangle
Let the Train Blow Her Whistle,"Cash, Johnny"
Let There Be Rock,AC/DC
Let's Be Natural,Rutles
Let's Call the Whole Thing Off,"Astaire, Fred & Ginger Rogers"
Let's Clean Up the Ghetto,Philadelphia International All Stars
Let's Get Lost,"Smith, Elliott"
Let's Go,Ventures
Let's Go Away for a While,Beach Boys
Let's Go Crazy,Prince
"Let's Go Dancing (Ooooh la, la, la)",Kool and the Gang
Let's Spend the Day in Bed,Over the Rhine
Let's Spend the Night Together,Rolling Stones
Let's Stay Together,"Green, Al"
Letter From America,Proclaimers
Letter to Bowie Knife,Calexico
Letters From the Garden of Stone,Everlast
Levi Jacket (And a Tail Shirt),"Perkins, Carl"
LFO,LFO
Liar Liar,Castaways
Liar's Bar,Beautiful South
Libertango,Swingle Singers
Libet's Delay,Caretaker
Life Changes,Wu-Tang Clan
Life During Wartime,Talking Heads
Life in a Northern Town,Dream Academy
"Life In A Scotch Sittingroom, #2, Episode 11","Cutler, Ivor"
Life in Reverse,Marine
Life is Sheep,"Wyatt, Robert"
Life of Crime,Weirdos
Life on Mars,"Wansel, Dexter"
Life on Mars?,"Bowie, David"
Lifelong,Paperfangs
Life's What You Make It,Talk Talk
Light Catches Your Face,Bell X1
Light Enough to Travel,Be Good Tanyas
Light Flight,Pentangle
Lighthouse,"Watson, Patrick"
Like a Hurricane,"Young, Neil & Crazy Horse"
Like a Rolling Stone,Spirit
