Ugly Beauty,"Monk, Thelonius"
"Um, Um, Um, Um, Um, Um",Major Lance
Umi Says,Mos Def
Una Spiaggia a Mezzogiorno,"Morricone, Ennio ft Edda Dell'Orso"
Una Voce Allo Specchio (A Voice at the Mirror),"Morricone, Ennio"
Unbreak My Heart,"Braxton, Toni"
Uncertain Smile,The The
Undebel,Diego el Cigala
Under a Blanket of Blue,"Fitzgerald, Ella & Louis Armstrong"
Under African Skies,"Simon, Paul"
Under Pressure,Queen and David Bowie
Under the Boardwalk,Drifters
Under the Bridge,Red Hot Chili Peppers
Under The Milky Way,Church
Under Your Thumb,Godley & Creme
Undercover of the Night,Rolling Stones
Underwater,Ghostface Killah
Undress Me,"Almond, Marc"
Une Sale Histoire (Female Version),Fab 5 Freddy
Unemployed in Summertime,"Torrini, Emiliana"
Unemployment Blues,Macka B
Unfair,Pavement
Unhappy Birthday,Smiths
Union Jack Thall's Cac!,Oi Polloi
Universal Tellerw?scher,Die Sterne
Unknown Legend,"Young, Neil"
Unknown Soldier (Pts 1 & 2),"Kuti, Fela"
Unsquare Dance,Dave Brubek Quartet
Until the End of the World,U2
"Up and Down, Up and Down","Ellington, Duke"
Up Here in the North of England,Icicle Works
Up the Hill and Down the Slope,Loft
Up the Junction,Squeeze
Up the Wooden Hills to Bedfordshire,Small Faces
Uptown,Crystals
Uptown Top Ranking,Althea and Donna
Urami Bushi (My Grudge Blues),"Kaji, Meiko"
URAQT,MIA
Urban Spaceman,Bonzo Dog Doo Dah Band
Used to Be a Cop,Drive-By Truckers
Valley Girl,"Zappa, Frank"
Valveuni,Kauan
Vaseline,Elastica
Vegetable Man,Pink Floyd
Vegetables,Beach Boys
Vegetarian Restaurant,Aberfeldy
Velvet Underground,"Richman, Johnathan"
Venceremos (We Will WIn),Working Week
Vengeance,New Model Army
Venus,"Avalon, Frankie"
Venus as a Boy,Bjork
Venus in Furs,Velvet Underground
Verdi Cries,"10,000 Maniacs"
Veritables Preludes Flasques,"Satie, Erik"
Veronica,"Costello, Elvis"
Verset R,Monsieur R
Very Funny,Magnetic Fields
Vicious,"Reed, Lou"
Victor Jara's Hands,Calexico
Victoria,Fall
Victory,Amampondo
Victory,"Harvey, PJ"
Viime Y?n? (Last Night),Barry Andrewsin Disko
Village Girl,"Chandra, Sheila"
Village Green,Kinks
Village Soul,"Hibbert, Lennie"
Villiers Terrace,Echo And The Bunnymen
Vincent,"McLean, Don"
Violence Grows,Fatal Microbes
Viorar Vel Til Loftarasa,Sigur Ros
Virus,Deltron 3030
Vitamin C,Can
Vitamin C,Can
Viva Las Vegas,"Presley, Elvis"
Viva Nigeria,"Kuti, Fela"
Vivo Cielo,"Merc?, Jos?"
Voices of the Voiceless,Lowkey ft Immortal Technique
Voodoo Chile (Slight Return),"Hendrix, Jimi"
Voodoo Ray,Guy Called Gerald
Vote Baby Vote,Deee-Lite
Wade in the Water,"Cooke, Sam"
Wage Slaves,All Shall Perish
Wait (Whispering Song),Ying Yang Twins
Waitin' For the Bus,ZZ Top
Waiting (O Mistress Mine),"Sawhney, Nitin"
Waiting Around to Die,"Van Zandt, Townes"
Waiting in the Park,Chantells
Wake me Up When September Ends,Green Day
Wake Up,Arcade Fire
Wake Up and Smell the Coffee,Cranberries
Waking Up in the Sun,Adult Net
Walcott,Vampire Weekend
Walk,Pantera
Walk Away Renee,Left Banke
Walk Like a Panther,All Seeing I
Walk Like An Egyptian,Bangles
Walk Now,Orbital
Walk on By,"Hayes, Isaac"
Walk On By,"Van Dyke, Leroy"
Walk on the Wild Side,"Smith, Jimmy"
Walk Tall Baby (That's What I Need),"Marrow, Esther"
Walkin' After Midnight,"Cline, Patsy"
Walkin' in the Rain With the One I Love,Love Unlimited
Walking In My Shoes,Depeche Mode
Walking in the Rain,Ronettes
Walking Round in Circles,"Hopkins, Lightnin'"
Walking to New Orleans,"Domino, Fats"
Wall Of Death,"Thompson, Richard and Linda"
Walt Grace's Submarine Test,"Mayer, John"
Waltz # 2,"Smith, Elliott"
Waltz for a Lovely Wife,Getz. Stan
Wandering Star,Portishead
Wannabe,Spice Girls
War,Hypnotic Brass Ensemble
War,"Starr, Edwin"
War Zone,Pete Rock ft Dead Prez
Warm It Up Kane,"Kane, Big Daddy"
Warm Leatherette,"Jones, Grace"
Warm Leatherette,"Normal, The"
Warm Wet Circles,Marillion
Warrior Charge,Aswad
Warrior In Woolworths,X-Ray Spex
Warsaw,Joy Division
Was a Friend,"Wyatt, Robert"
Wash Your Face in My Sink,Dream Warriors
Wasn't Born to Follow,Byrds
Wasn't That a Mighty Storm,Duhks
Wasted Words,Allman Brothers
Wat a Heat,Luciano
Watch Her Disappear,"Waits, Tom"
Watch the Sunrise,Big Star
Water Sample,Tarwater
Waterfalls,TLC
Waterloo Sunset,Kinks
Wave of Mutilation (UK Surf),Pixies
Way Down in the Hole,"Waits, Tom"
Way Down in the Hole,"Earle, Steve"
We Are All Prostitutes,Pop Group
We Are America,"Spalding, Esperanza"
We are Family,Sister Sledge
We Are Neighbours,Chi-Lites
We Are the Firm,Cockney Rejects
We Are Your Friends,Justice Vs Simian
We Call It Acieeed,D-Mob
We Can Be Together,Jefferson Airplane
We Can Work it Out,"Wonder, Stevie"
